Module	Section	Sample Name	Source
FastQC	all_sections	SRR14240780_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240780_2_fastqc.zip
FastQC	all_sections	SRR14240739_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240739_1_fastqc.zip
FastQC	all_sections	SRR14240777_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240777_2_fastqc.zip
FastQC	all_sections	SRR14240782_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240782_2_fastqc.zip
FastQC	all_sections	SRR14240740_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240740_1_fastqc.zip
FastQC	all_sections	SRR14240783_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240783_2_fastqc.zip
FastQC	all_sections	SRR14240741_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240741_1_fastqc.zip
FastQC	all_sections	SRR14240776_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240776_2_fastqc.zip
FastQC	all_sections	SRR14240738_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240738_1_fastqc.zip
FastQC	all_sections	SRR14240757_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240757_2_fastqc.zip
FastQC	all_sections	SRR14240788_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240788_2_fastqc.zip
FastQC	all_sections	SRR14240795_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240795_1_fastqc.zip
FastQC	all_sections	SRR14240760_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240760_1_fastqc.zip
FastQC	all_sections	SRR14240733_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240733_1_fastqc.zip
FastQC	all_sections	SRR14240761_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240761_1_fastqc.zip
FastQC	all_sections	SRR14240732_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240732_1_fastqc.zip
FastQC	all_sections	SRR14240789_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240789_2_fastqc.zip
FastQC	all_sections	SRR14240756_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240756_2_fastqc.zip
FastQC	all_sections	SRR14240794_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240794_1_fastqc.zip
FastQC	all_sections	SRR14240730_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240730_1_fastqc.zip
FastQC	all_sections	SRR14240763_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240763_1_fastqc.zip
FastQC	all_sections	SRR14240749_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240749_1_fastqc.zip
FastQC	all_sections	SRR14240796_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240796_1_fastqc.zip
FastQC	all_sections	SRR14240754_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240754_2_fastqc.zip
FastQC	all_sections	SRR14240797_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240797_1_fastqc.zip
FastQC	all_sections	SRR14240748_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240748_1_fastqc.zip
FastQC	all_sections	SRR14240755_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240755_2_fastqc.zip
FastQC	all_sections	SRR14240731_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240731_1_fastqc.zip
FastQC	all_sections	SRR14240762_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240762_1_fastqc.zip
FastQC	all_sections	SRR14240750_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240750_2_fastqc.zip
FastQC	all_sections	SRR14240792_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240792_1_fastqc.zip
FastQC	all_sections	SRR14240767_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240767_1_fastqc.zip
FastQC	all_sections	SRR14240734_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240734_1_fastqc.zip
FastQC	all_sections	SRR14240766_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240766_1_fastqc.zip
FastQC	all_sections	SRR14240735_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240735_1_fastqc.zip
FastQC	all_sections	SRR14240751_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240751_2_fastqc.zip
FastQC	all_sections	SRR14240793_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240793_1_fastqc.zip
FastQC	all_sections	SRR14240737_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240737_1_fastqc.zip
FastQC	all_sections	SRR14240779_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240779_2_fastqc.zip
FastQC	all_sections	SRR14240764_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240764_1_fastqc.zip
FastQC	all_sections	SRR14240791_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240791_1_fastqc.zip
FastQC	all_sections	SRR14240753_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240753_2_fastqc.zip
FastQC	all_sections	SRR14240790_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240790_1_fastqc.zip
FastQC	all_sections	SRR14240752_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240752_2_fastqc.zip
FastQC	all_sections	SRR14240778_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240778_2_fastqc.zip
FastQC	all_sections	SRR14240736_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240736_1_fastqc.zip
FastQC	all_sections	SRR14240765_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240765_1_fastqc.zip
FastQC	all_sections	SRR14240769_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240769_2_fastqc.zip
FastQC	all_sections	SRR14240774_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240774_1_fastqc.zip
FastQC	all_sections	SRR14240781_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240781_1_fastqc.zip
FastQC	all_sections	SRR14240743_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240743_2_fastqc.zip
FastQC	all_sections	SRR14240780_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240780_1_fastqc.zip
FastQC	all_sections	SRR14240742_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240742_2_fastqc.zip
FastQC	all_sections	SRR14240768_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240768_2_fastqc.zip
FastQC	all_sections	SRR14240775_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240775_1_fastqc.zip
FastQC	all_sections	SRR14240740_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240740_2_fastqc.zip
FastQC	all_sections	SRR14240782_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240782_1_fastqc.zip
FastQC	all_sections	SRR14240777_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240777_1_fastqc.zip
FastQC	all_sections	SRR14240739_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240739_2_fastqc.zip
FastQC	all_sections	SRR14240738_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240738_2_fastqc.zip
FastQC	all_sections	SRR14240776_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240776_1_fastqc.zip
FastQC	all_sections	SRR14240741_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240741_2_fastqc.zip
FastQC	all_sections	SRR14240783_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240783_1_fastqc.zip
FastQC	all_sections	SRR14240773_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240773_1_fastqc.zip
FastQC	all_sections	SRR14240759_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240759_1_fastqc.zip
FastQC	all_sections	SRR14240786_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240786_1_fastqc.zip
FastQC	all_sections	SRR14240744_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240744_2_fastqc.zip
FastQC	all_sections	SRR14240787_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240787_1_fastqc.zip
FastQC	all_sections	SRR14240758_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240758_1_fastqc.zip
FastQC	all_sections	SRR14240745_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240745_2_fastqc.zip
FastQC	all_sections	SRR14240772_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240772_1_fastqc.zip
FastQC	all_sections	SRR14240747_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240747_2_fastqc.zip
FastQC	all_sections	SRR14240798_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240798_2_fastqc.zip
FastQC	all_sections	SRR14240785_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240785_1_fastqc.zip
FastQC	all_sections	SRR14240770_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240770_1_fastqc.zip
FastQC	all_sections	SRR14240771_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240771_1_fastqc.zip
FastQC	all_sections	SRR14240746_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240746_2_fastqc.zip
FastQC	all_sections	SRR14240784_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240784_1_fastqc.zip
FastQC	all_sections	SRR14240734_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240734_2_fastqc.zip
FastQC	all_sections	SRR14240767_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240767_2_fastqc.zip
FastQC	all_sections	SRR14240792_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240792_2_fastqc.zip
FastQC	all_sections	SRR14240750_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240750_1_fastqc.zip
FastQC	all_sections	SRR14240793_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240793_2_fastqc.zip
FastQC	all_sections	SRR14240751_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240751_1_fastqc.zip
FastQC	all_sections	SRR14240735_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240735_2_fastqc.zip
FastQC	all_sections	SRR14240766_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240766_2_fastqc.zip
FastQC	all_sections	SRR14240753_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240753_1_fastqc.zip
FastQC	all_sections	SRR14240791_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240791_2_fastqc.zip
FastQC	all_sections	SRR14240764_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240764_2_fastqc.zip
FastQC	all_sections	SRR14240779_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240779_1_fastqc.zip
FastQC	all_sections	SRR14240737_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240737_2_fastqc.zip
FastQC	all_sections	SRR14240765_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240765_2_fastqc.zip
FastQC	all_sections	SRR14240736_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240736_2_fastqc.zip
FastQC	all_sections	SRR14240778_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240778_1_fastqc.zip
FastQC	all_sections	SRR14240752_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240752_1_fastqc.zip
FastQC	all_sections	SRR14240790_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240790_2_fastqc.zip
FastQC	all_sections	SRR14240733_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240733_2_fastqc.zip
FastQC	all_sections	SRR14240760_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240760_2_fastqc.zip
FastQC	all_sections	SRR14240795_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240795_2_fastqc.zip
FastQC	all_sections	SRR14240757_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240757_1_fastqc.zip
FastQC	all_sections	SRR14240788_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240788_1_fastqc.zip
FastQC	all_sections	SRR14240794_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240794_2_fastqc.zip
FastQC	all_sections	SRR14240789_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240789_1_fastqc.zip
FastQC	all_sections	SRR14240756_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240756_1_fastqc.zip
FastQC	all_sections	SRR14240732_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240732_2_fastqc.zip
FastQC	all_sections	SRR14240761_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240761_2_fastqc.zip
FastQC	all_sections	SRR14240754_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240754_1_fastqc.zip
FastQC	all_sections	SRR14240749_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240749_2_fastqc.zip
FastQC	all_sections	SRR14240796_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240796_2_fastqc.zip
FastQC	all_sections	SRR14240763_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240763_2_fastqc.zip
FastQC	all_sections	SRR14240730_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240730_2_fastqc.zip
FastQC	all_sections	SRR14240762_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240762_2_fastqc.zip
FastQC	all_sections	SRR14240731_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240731_2_fastqc.zip
FastQC	all_sections	SRR14240755_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240755_1_fastqc.zip
FastQC	all_sections	SRR14240797_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240797_2_fastqc.zip
FastQC	all_sections	SRR14240748_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240748_2_fastqc.zip
